customer_id,recency,frequency,monetary,acquisition_channel,acquisition_cac,city_tier,cluster,segment
CUST00159,181,2,2516.2,Influencer,1461.42,Tier 2,1,Loyalists
CUST00160,910,2,2755.2,Paid Google,870.11,Tier 3,1,Loyalists
CUST00161,727,1,1398.0,Paid Instagram,942.76,Tier 2,0,At Risk
CUST00162,336,1,1128.3,Paid Instagram,868.19,Tier 1,3,Lost / Dormant
CUST00163,982,1,1318.0,Influencer,1343.7,Tier 1,0,At Risk
CUST00164,1064,1,211.55,Influencer,1626.88,Tier 1,0,At Risk
CUST00165,596,2,3131.6,Influencer,1188.87,Tier 1,1,Loyalists
CUST00166,495,1,249.05,Organic Search,165.04,Tier 1,3,Lost / Dormant
CUST00167,376,1,518.2,Paid Instagram,1192.83,Tier 1,3,Lost / Dormant
CUST00168,247,1,329.05,Paid Google,807.99,Tier 1,3,Lost / Dormant
CUST00169,710,1,1618.2,Organic Search,237.36,Tier 2,0,At Risk
CUST00170,890,2,1537.5,Paid Instagram,1023.59,Tier 1,0,At Risk
CUST00171,674,1,1092.45,Organic Search,233.07,Tier 1,0,At Risk
CUST00172,244,4,3962.95,Direct,60.36,Tier 1,2,Champions
CUST00173,985,1,693.3,Paid Instagram,1133.76,Tier 1,0,At Risk
CUST00174,230,1,1148.2,Email Referral,303.49,Tier 1,3,Lost / Dormant
CUST00175,816,1,858.0,Paid Instagram,985.39,Tier 1,0,At Risk
CUST00176,517,1,2386.0,Email Referral,163.92,Tier 1,3,Lost / Dormant
CUST00177,631,1,438.4,Paid Google,785.03,Tier 1,0,At Risk
CUST00178,934,1,264.1,Email Referral,273.57,Tier 1,0,At Risk
CUST00179,643,1,923.2,Influencer,1337.13,Tier 1,0,At Risk
CUST00180,338,2,2039.1,Paid Instagram,1091.98,Tier 1,1,Loyalists
CUST00181,1038,1,3027.3,Direct,80.14,Tier 1,0,At Risk
CUST00182,974,1,241.65,Paid Google,973.51,Tier 1,0,At Risk
CUST00183,242,1,1332.3,Influencer,1489.58,Tier 1,3,Lost / Dormant
CUST00184,599,2,278.05,Paid Google,1031.06,Tier 2,3,Lost / Dormant
CUST00185,680,1,589.0,Paid Google,762.38,Tier 1,0,At Risk
CUST00186,232,1,2068.7,Paid Instagram,1061.41,Tier 1,3,Lost / Dormant
CUST00187,213,2,2180.5,Email Referral,216.61,Tier 1,1,Loyalists
CUST00188,895,1,633.1,Influencer,1484.31,Tier 2,0,At Risk
CUST00189,916,1,2106.4,Paid Google,980.11,Tier 1,0,At Risk
CUST00190,444,2,3934.7,Influencer,1593.8,Tier 1,1,Loyalists
CUST00191,1027,1,483.1,Paid Instagram,1178.83,Tier 1,0,At Risk
CUST00192,779,1,1378.0,Influencer,1141.37,Tier 1,0,At Risk
CUST00193,218,1,1757.15,Organic Search,218.82,Tier 1,3,Lost / Dormant
CUST00194,217,2,2885.45,Paid Google,694.12,Tier 1,1,Loyalists
CUST00195,264,1,264.1,Influencer,1477.78,Tier 2,3,Lost / Dormant
CUST00196,369,1,484.05,Paid Instagram,1063.65,Tier 1,3,Lost / Dormant
CUST00197,805,1,888.3,Paid Google,987.23,Tier 1,0,At Risk
CUST00198,998,1,286.55,Paid Instagram,1031.94,Tier 1,0,At Risk
CUST00199,470,2,624.85,Paid Google,1058.37,Tier 1,3,Lost / Dormant
CUST00200,369,1,2270.5,Paid Instagram,985.75,Tier 2,3,Lost / Dormant
CUST00201,159,4,2426.75,Email Referral,339.42,Tier 1,2,Champions
CUST00202,1075,1,1081.6,Influencer,1298.29,Tier 1,0,At Risk
CUST00203,953,1,569.1,Paid Instagram,977.48,Tier 1,0,At Risk
CUST00204,198,1,439.1,Organic Search,126.21,Tier 1,3,Lost / Dormant
CUST00205,163,3,2670.2,Email Referral,330.53,Tier 1,2,Champions
CUST00206,741,2,1995.8,Organic Search,222.12,Tier 3,1,Loyalists
CUST00207,160,2,1627.25,Paid Google,1051.99,Tier 2,3,Lost / Dormant
CUST00208,807,1,1832.0,Influencer,1653.2,Tier 2,0,At Risk
CUST00209,954,1,659.0,Email Referral,160.44,Tier 2,0,At Risk
CUST00210,567,1,309.0,Organic Search,157.01,Tier 2,3,Lost / Dormant
CUST00211,1001,1,509.1,Email Referral,194.41,Tier 2,0,At Risk
CUST00212,548,3,3088.25,Paid Google,717.89,Tier 1,1,Loyalists
CUST00213,994,1,304.1,Paid Google,924.98,Tier 2,0,At Risk
CUST00214,610,1,211.55,Direct,63.88,Tier 1,3,Lost / Dormant
CUST00215,1076,1,624.05,Direct,133.5,Tier 1,0,At Risk
CUST00216,864,2,2146.95,Paid Instagram,1051.9,Tier 1,1,Loyalists
CUST00217,1005,2,3386.1,Influencer,1732.55,Tier 1,1,Loyalists
CUST00218,741,2,1906.3999999999999,Organic Search,137.46,Tier 1,1,Loyalists
CUST00219,557,1,104.0,Paid Instagram,1271.85,Tier 1,3,Lost / Dormant
CUST00220,642,6,4231.55,Email Referral,346.21,Tier 1,2,Champions
CUST00221,688,2,3246.0,Email Referral,281.42,Tier 1,1,Loyalists
CUST00222,631,3,2299.9,Paid Instagram,1288.11,Tier 1,1,Loyalists
CUST00223,605,1,393.0,Direct,131.15,Tier 1,3,Lost / Dormant
CUST00224,889,1,2417.0,Paid Instagram,919.68,Tier 1,0,At Risk
CUST00225,262,1,1398.2,Influencer,1378.65,Tier 1,3,Lost / Dormant
CUST00226,702,2,654.95,Email Referral,309.87,Tier 1,0,At Risk
CUST00227,616,2,2785.0,Email Referral,187.36,Tier 1,1,Loyalists
CUST00228,282,2,1402.1,Email Referral,236.12,Tier 1,3,Lost / Dormant
CUST00229,760,1,1092.15,Paid Instagram,983.9,Tier 1,0,At Risk
CUST00230,1052,1,74.15,Paid Google,1055.8,Tier 1,0,At Risk
CUST00231,368,2,1197.1,Paid Instagram,1107.85,Tier 1,3,Lost / Dormant
CUST00232,337,2,1786.4,Email Referral,156.96,Tier 2,1,Loyalists
CUST00233,515,1,469.15,Paid Google,676.72,Tier 1,3,Lost / Dormant
CUST00234,1016,1,379.2,Paid Google,864.73,Tier 1,0,At Risk
CUST00235,977,1,549.05,Paid Instagram,911.63,Tier 1,0,At Risk
CUST00236,620,3,1787.25,Paid Google,707.29,Tier 1,1,Loyalists
CUST00237,956,1,279.15,Paid Instagram,1071.23,Tier 2,0,At Risk
CUST00238,369,1,509.1,Organic Search,208.43,Tier 1,3,Lost / Dormant
CUST00239,576,1,2097.0,Email Referral,347.03,Tier 1,3,Lost / Dormant
CUST00240,526,1,399.05,Paid Instagram,1080.44,Tier 1,3,Lost / Dormant
CUST00241,688,1,241.65,Paid Instagram,1231.32,Tier 3,0,At Risk
CUST00242,872,3,5342.3,Email Referral,213.41,Tier 1,2,Champions
CUST00243,248,1,1896.0,Paid Instagram,1183.88,Tier 2,3,Lost / Dormant
CUST00244,206,1,589.1,Paid Google,662.08,Tier 1,3,Lost / Dormant
CUST00245,369,1,1507.6,Paid Google,1073.74,Tier 1,3,Lost / Dormant
CUST00246,302,3,2179.15,Paid Google,737.23,Tier 2,1,Loyalists
CUST00247,865,2,2879.6000000000004,Influencer,1738.71,Tier 1,1,Loyalists
CUST00248,517,1,1238.0,Email Referral,322.76,Tier 1,3,Lost / Dormant
CUST00249,197,2,2925.25,Organic Search,223.62,Tier 1,1,Loyalists
CUST00250,787,1,309.0,Organic Search,260.94,Tier 1,0,At Risk
CUST00251,761,3,3181.15,Organic Search,196.85,Tier 1,1,Loyalists
CUST00252,226,3,3877.4,Paid Google,1094.01,Tier 1,2,Champions
CUST00253,235,4,901.15,Organic Search,163.82,Tier 1,2,Champions
CUST00254,996,1,638.4,Paid Instagram,1367.23,Tier 1,0,At Risk
CUST00255,503,1,1175.5,Email Referral,187.97,Tier 1,3,Lost / Dormant
CUST00256,704,2,1142.15,Influencer,1199.05,Tier 1,1,Loyalists
CUST00257,681,2,1829.75,Paid Instagram,968.81,Tier 1,1,Loyalists
CUST00258,558,2,1392.4,Email Referral,202.89,Tier 1,1,Loyalists
CUST00259,1044,1,867.15,Paid Instagram,916.79,Tier 1,0,At Risk
CUST00260,785,2,923.15,Organic Search,224.65,Tier 2,0,At Risk
CUST00261,282,1,979.65,Paid Google,878.92,Tier 3,3,Lost / Dormant
CUST00262,682,1,679.0,Organic Search,109.06,Tier 1,0,At Risk
CUST00263,942,1,1538.2,Influencer,1667.06,Tier 1,0,At Risk
CUST00264,399,2,781.4,Paid Instagram,979.54,Tier 1,3,Lost / Dormant
CUST00265,789,1,194.1,Organic Search,103.33,Tier 1,0,At Risk
CUST00266,279,1,1587.3,Influencer,2059.31,Tier 2,3,Lost / Dormant
CUST00267,294,1,801.0,Direct,107.85,Tier 3,3,Lost / Dormant
CUST00268,451,1,1248.0,Paid Instagram,1264.76,Tier 1,3,Lost / Dormant
CUST00269,378,1,74.15,Paid Instagram,811.36,Tier 1,3,Lost / Dormant
CUST00270,624,2,1602.35,Organic Search,222.3,Tier 1,1,Loyalists
CUST00271,562,1,1128.0,Organic Search,165.01,Tier 1,3,Lost / Dormant
CUST00272,625,1,2277.45,Direct,84.23,Tier 2,1,Loyalists
CUST00273,830,2,2150.7,Organic Search,155.8,Tier 2,1,Loyalists
CUST00274,229,3,4447.2,Organic Search,241.0,Tier 1,2,Champions
CUST00275,508,1,2625.75,Paid Google,789.85,Tier 1,1,Loyalists
CUST00276,626,3,662.1,Paid Google,639.51,Tier 2,1,Loyalists
CUST00277,247,1,549.05,Paid Instagram,1359.81,Tier 1,3,Lost / Dormant
CUST00278,410,1,228.2,Paid Instagram,935.4,Tier 2,3,Lost / Dormant
CUST00279,612,1,928.4,Paid Google,985.38,Tier 1,3,Lost / Dormant
CUST00280,192,1,1536.8,Paid Google,838.72,Tier 2,3,Lost / Dormant
CUST00281,432,1,469.15,Paid Google,984.36,Tier 1,3,Lost / Dormant
CUST00282,703,4,1162.05,Direct,133.76,Tier 1,1,Loyalists
CUST00283,863,2,1192.2,Email Referral,342.43,Tier 2,0,At Risk
CUST00284,476,1,74.15,Paid Google,1091.5,Tier 1,3,Lost / Dormant
CUST00285,957,1,1258.4,Email Referral,243.6,Tier 2,0,At Risk
CUST00286,529,2,3760.45,Paid Instagram,1231.16,Tier 1,1,Loyalists
CUST00287,321,1,229.1,Influencer,1772.05,Tier 1,3,Lost / Dormant
CUST00288,411,1,867.15,Paid Instagram,1389.01,Tier 1,3,Lost / Dormant
CUST00289,615,2,3993.9,Paid Instagram,1252.25,Tier 1,1,Loyalists
CUST00290,654,2,1813.35,Paid Google,631.06,Tier 1,1,Loyalists
CUST00291,579,1,2616.0,Paid Google,1043.9,Tier 2,1,Loyalists
CUST00292,868,1,969.1,Paid Google,666.78,Tier 1,0,At Risk
CUST00293,533,1,1234.95,Paid Google,978.68,Tier 2,3,Lost / Dormant
CUST00294,555,1,264.1,Influencer,1185.91,Tier 1,3,Lost / Dormant
CUST00295,940,1,708.1,Influencer,2039.93,Tier 1,0,At Risk
CUST00296,499,2,1610.55,Organic Search,202.08,Tier 1,1,Loyalists
CUST00297,1001,2,1585.05,Influencer,1840.04,Tier 1,0,At Risk
CUST00298,992,2,1142.1,Paid Google,889.16,Tier 1,0,At Risk
CUST00299,1035,1,159.1,Influencer,1175.92,Tier 2,0,At Risk
CUST00300,955,1,612.45,Paid Instagram,1387.0,Tier 1,0,At Risk
CUST00301,707,1,624.05,Paid Google,941.37,Tier 1,0,At Risk
CUST00302,498,2,1118.15,Paid Instagram,876.41,Tier 1,1,Loyalists
CUST00303,464,3,2342.3,Direct,104.44,Tier 1,1,Loyalists
CUST00304,741,1,1505.0,Paid Instagram,913.09,Tier 1,0,At Risk
CUST00305,118,2,1438.1,Organic Search,148.13,Tier 2,3,Lost / Dormant
CUST00306,406,1,286.55,Paid Google,624.34,Tier 1,3,Lost / Dormant
CUST00307,204,2,520.55,Influencer,1162.09,Tier 2,3,Lost / Dormant
CUST00308,344,1,189.2,Email Referral,265.49,Tier 1,3,Lost / Dormant
CUST00309,320,4,4061.1,Direct,80.05,Tier 1,2,Champions
CUST00310,657,1,354.0,Organic Search,109.38,Tier 1,0,At Risk
CUST00311,575,4,1695.7,Email Referral,231.65,Tier 1,2,Champions
CUST00312,864,1,1767.15,Paid Instagram,1224.55,Tier 1,0,At Risk
CUST00313,369,4,3554.5,Direct,88.84,Tier 1,2,Champions
CUST00314,72,3,2049.1,Direct,103.56,Tier 1,1,Loyalists
CUST00315,479,1,354.0,Organic Search,114.56,Tier 1,3,Lost / Dormant
CUST00316,1078,1,483.1,Paid Google,695.01,Tier 1,0,At Risk
CUST00317,381,1,354.0,Direct,70.45,Tier 1,3,Lost / Dormant
CUST00318,549,1,248.1,Paid Google,754.21,Tier 1,3,Lost / Dormant
CUST00319,271,1,2206.0,Influencer,1616.44,Tier 3,3,Lost / Dormant
CUST00320,1049,1,393.0,Paid Google,710.64,Tier 1,0,At Risk
CUST00321,850,2,2032.4499999999998,Paid Google,789.92,Tier 1,1,Loyalists
CUST00322,255,1,1527.45,Paid Google,961.78,Tier 1,3,Lost / Dormant
CUST00323,359,1,429.0,Paid Instagram,910.43,Tier 1,3,Lost / Dormant
CUST00324,236,1,1137.45,Influencer,2139.71,Tier 2,3,Lost / Dormant
CUST00325,451,1,806.4,Paid Instagram,1224.3,Tier 1,3,Lost / Dormant
CUST00326,461,1,448.2,Paid Google,1066.95,Tier 1,3,Lost / Dormant
CUST00327,531,1,1488.3,Paid Instagram,810.04,Tier 1,3,Lost / Dormant
CUST00328,261,1,509.1,Paid Instagram,1058.34,Tier 1,3,Lost / Dormant
CUST00329,848,1,1408.0,Influencer,1679.1,Tier 1,0,At Risk
CUST00330,680,1,229.0,Paid Instagram,945.92,Tier 1,0,At Risk
CUST00331,148,2,845.45,Organic Search,106.34,Tier 1,3,Lost / Dormant
CUST00332,1086,1,1288.1,Paid Instagram,849.61,Tier 1,0,At Risk
CUST00333,218,1,318.4,Influencer,2084.27,Tier 3,3,Lost / Dormant
CUST00334,1018,1,1858.0,Paid Google,740.19,Tier 1,0,At Risk
CUST00335,226,1,343.4,Paid Instagram,1376.88,Tier 1,3,Lost / Dormant
CUST00336,522,4,3148.6,Direct,74.05,Tier 1,2,Champions
CUST00337,170,3,3533.65,Paid Google,1094.24,Tier 1,2,Champions
CUST00338,649,1,768.0,Paid Instagram,845.61,Tier 1,0,At Risk
CUST00339,814,1,249.05,Paid Instagram,1070.33,Tier 2,0,At Risk
CUST00340,399,1,379.2,Paid Google,790.04,Tier 1,3,Lost / Dormant
CUST00341,936,1,579.1,Paid Instagram,1270.33,Tier 1,0,At Risk
CUST00342,897,2,798.1,Paid Google,754.13,Tier 1,0,At Risk
CUST00343,905,1,1026.4,Paid Instagram,1134.19,Tier 1,0,At Risk
CUST00344,529,1,552.45,Paid Instagram,1158.83,Tier 1,3,Lost / Dormant
CUST00345,696,1,3184.0,Paid Google,962.42,Tier 2,1,Loyalists
CUST00346,923,1,264.1,Organic Search,160.23,Tier 1,0,At Risk
CUST00347,663,1,1007.6,Paid Google,991.33,Tier 1,0,At Risk
CUST00348,588,1,1308.0,Organic Search,139.11,Tier 1,3,Lost / Dormant
