return_id,order_id,customer_id,return_date,return_reason,refund_amount,reverse_logistics,restocking_cost,net_return_cost,acquisition_channel
RET000033,ORD0000284,CUST00190,2023-08-07,Not as described,2222.3,80,24.0,2326.3,Influencer
RET000034,ORD0000286,CUST00191,2022-03-26,Quality issue,612.7,80,6.0,698.7,Paid Instagram
RET000035,ORD0000289,CUST00194,2024-04-23,Not as described,1227.64,80,14.5,1322.14,Paid Google
RET000036,ORD0000313,CUST00209,2022-06-02,Not as described,783.71,80,9.0,872.71,Email Referral
RET000037,ORD0000322,CUST00216,2022-05-21,Quality issue,1131.89,80,12.0,1223.89,Paid Instagram
RET000038,ORD0000326,CUST00218,2022-09-07,Wrong item,1400.28,80,14.5,1494.78,Organic Search
RET000039,ORD0000330,CUST00220,2022-05-09,Not as described,886.02,80,8.5,974.52,Email Referral
RET000040,ORD0000349,CUST00229,2022-12-13,Changed mind,1347.68,80,13.5,1441.18,Paid Instagram
RET000041,ORD0000350,CUST00230,2022-02-23,Wrong item,147.9,80,1.75,229.65,Paid Google
RET000042,ORD0000362,CUST00238,2024-01-12,Quality issue,612.28,80,7.5,699.78,Organic Search
RET000043,ORD0000385,CUST00252,2024-04-04,Product damaged,3583.49,80,35.5,3698.99,Paid Google
RET000044,ORD0000390,CUST00253,2024-05-22,Changed mind,342.25,80,3.5,425.75,Organic Search
RET000045,ORD0000396,CUST00257,2023-02-27,Allergic reaction,311.54,80,3.0,394.54,Paid Instagram
RET000046,ORD0000405,CUST00264,2023-09-26,Product damaged,347.05,80,4.0,431.05,Paid Instagram
RET000047,ORD0000429,CUST00281,2023-11-11,Quality issue,586.49,80,7.5,673.99,Paid Google
RET000048,ORD0000434,CUST00283,2022-07-25,Not as described,1016.46,80,10.5,1106.96,Email Referral
RET000049,ORD0000446,CUST00291,2023-06-06,Quality issue,3257.8,80,31.0,3368.8,Paid Google
RET000050,ORD0000476,CUST00310,2023-03-21,Quality issue,479.69,80,4.25,563.94,Organic Search
RET000051,ORD0000495,CUST00321,2022-08-06,Quality issue,763.16,80,8.5,851.66,Paid Google
RET000052,ORD0000497,CUST00322,2024-04-30,Product damaged,1819.46,80,22.5,1921.96,Paid Google
RET000053,ORD0000501,CUST00326,2023-09-30,Wrong item,592.17,80,6.0,678.17,Paid Google
RET000054,ORD0000503,CUST00328,2024-04-26,Allergic reaction,702.29,80,7.5,789.79,Paid Instagram
RET000055,ORD0000511,CUST00335,2024-06-04,Not as described,451.47,80,5.75,537.22,Paid Instagram
RET000056,ORD0000529,CUST00347,2023-03-12,Product damaged,1305.72,80,14.5,1400.22,Paid Google
RET000057,ORD0000539,CUST00354,2022-08-08,Wrong item,736.02,80,7.5,823.52,Direct
RET000058,ORD0000549,CUST00360,2023-07-04,Wrong item,447.97,80,4.0,531.97,Influencer
RET000059,ORD0000553,CUST00364,2022-11-13,Wrong item,476.65,80,6.0,562.65,Paid Google
RET000060,ORD0000557,CUST00367,2023-06-05,Allergic reaction,347.54,80,3.5,431.04,Organic Search
RET000061,ORD0000566,CUST00373,2023-08-20,Quality issue,1416.58,80,15.5,1512.08,Influencer
RET000062,ORD0000570,CUST00376,2023-06-24,Allergic reaction,1665.4,80,18.0,1763.4,Organic Search
RET000063,ORD0000576,CUST00381,2022-12-27,Changed mind,444.32,80,4.5,528.82,Paid Google
RET000064,ORD0000584,CUST00387,2023-08-29,Wrong item,1232.41,80,13.0,1325.41,Influencer
RET000065,ORD0000587,CUST00390,2023-12-21,Quality issue,587.69,80,7.5,675.19,Organic Search
RET000066,ORD0000589,CUST00392,2023-05-19,Not as described,297.96,80,2.5,380.46,Influencer
RET000067,ORD0000598,CUST00399,2022-04-19,Changed mind,623.33,80,8.0,711.33,Organic Search
RET000068,ORD0000610,CUST00406,2022-05-02,Changed mind,326.64,80,3.0,409.64,Influencer
RET000069,ORD0000611,CUST00406,2022-06-21,Wrong item,435.53,80,4.25,519.78,Influencer
RET000070,ORD0000616,CUST00409,2024-04-04,Wrong item,312.6,80,3.0,395.6,Direct
RET000071,ORD0000619,CUST00411,2022-07-31,Wrong item,641.85,80,7.5,729.35,Paid Instagram
RET000072,ORD0000620,CUST00412,2023-04-01,Not as described,439.34,80,4.5,523.84,Paid Google
RET000073,ORD0000628,CUST00416,2023-09-22,Not as described,586.02,80,6.0,672.02,Paid Google
RET000074,ORD0000638,CUST00423,2022-07-27,Wrong item,925.26,80,9.75,1015.01,Paid Instagram
RET000075,ORD0000639,CUST00423,2022-10-07,Wrong item,191.43,80,1.75,273.18,Paid Instagram
RET000076,ORD0000643,CUST00427,2022-03-06,Quality issue,799.21,80,8.0,887.21,Paid Google
RET000077,ORD0000664,CUST00437,2022-04-21,Not as described,429.71,80,4.0,513.71,Paid Instagram
RET000078,ORD0000665,CUST00438,2024-05-07,Product damaged,2222.0,80,22.0,2324.0,Paid Instagram
RET000079,ORD0000669,CUST00442,2022-10-25,Not as described,414.9,80,5.5,500.4,Direct
RET000080,ORD0000682,CUST00451,2023-02-04,Quality issue,990.94,80,10.5,1081.44,Influencer
RET000081,ORD0000695,CUST00463,2024-01-27,Quality issue,596.48,80,6.0,682.48,Paid Google
RET000082,ORD0000706,CUST00470,2022-04-18,Product damaged,2355.91,80,26.5,2462.41,Paid Instagram
RET000083,ORD0000716,CUST00475,2023-09-04,Wrong item,1284.6,80,12.0,1376.6,Direct
RET000084,ORD0000721,CUST00479,2023-03-22,Quality issue,1588.23,80,15.5,1683.73,Paid Instagram
RET000085,ORD0000726,CUST00481,2024-07-09,Wrong item,152.1,80,1.75,233.85,Influencer
RET000086,ORD0000727,CUST00482,2022-06-15,Not as described,1076.85,80,13.0,1169.85,Paid Instagram
RET000087,ORD0000734,CUST00487,2024-04-04,Allergic reaction,869.81,80,8.75,958.56,Email Referral
RET000088,ORD0000735,CUST00488,2022-12-01,Not as described,2248.66,80,22.0,2350.66,Organic Search
RET000089,ORD0000740,CUST00492,2024-01-01,Changed mind,1986.89,80,19.5,2086.39,Direct
RET000090,ORD0000742,CUST00493,2022-12-16,Product damaged,935.3,80,9.0,1024.3,Organic Search
RET000091,ORD0000746,CUST00496,2022-10-12,Not as described,406.65,80,4.5,491.15,Organic Search
RET000092,ORD0000765,CUST00508,2023-10-12,Wrong item,949.68,80,11.0,1040.68,Paid Google
RET000093,ORD0000766,CUST00509,2022-07-23,Wrong item,436.91,80,4.0,520.91,Influencer
RET000094,ORD0000769,CUST00511,2024-06-10,Quality issue,1463.64,80,15.0,1558.64,Paid Instagram
RET000095,ORD0000772,CUST00512,2022-03-18,Changed mind,3196.67,80,39.5,3316.17,Paid Google
RET000096,ORD0000778,CUST00518,2023-12-11,Product damaged,429.17,80,4.0,513.17,Paid Google
RET000097,ORD0000793,CUST00528,2022-09-11,Not as described,423.39,80,4.5,507.89,Paid Instagram
RET000098,ORD0000807,CUST00535,2024-03-27,Not as described,802.52,80,9.5,892.02,Email Referral
RET000099,ORD0000810,CUST00537,2024-06-11,Product damaged,1472.74,80,17.0,1569.74,Paid Instagram
RET000100,ORD0000851,CUST00561,2023-12-16,Allergic reaction,1340.41,80,14.0,1434.41,Email Referral
RET000101,ORD0000854,CUST00563,2024-03-25,Wrong item,776.1,80,8.5,864.6,Paid Instagram
RET000102,ORD0000858,CUST00566,2023-10-24,Not as described,1002.28,80,12.5,1094.78,Organic Search
RET000103,ORD0000873,CUST00575,2024-04-06,Not as described,695.88,80,9.0,784.88,Paid Google
RET000104,ORD0000904,CUST00598,2022-08-02,Not as described,632.94,80,6.0,718.94,Email Referral
RET000105,ORD0000921,CUST00609,2023-02-20,Wrong item,1593.59,80,17.0,1690.59,Email Referral
RET000106,ORD0000942,CUST00624,2024-02-07,Quality issue,175.13,80,1.75,256.88,Paid Instagram
RET000107,ORD0000945,CUST00626,2023-10-29,Product damaged,1057.08,80,12.0,1149.08,Paid Google
RET000108,ORD0000953,CUST00632,2022-03-28,Product damaged,228.89,80,2.5,311.39,Paid Instagram
RET000109,ORD0000961,CUST00637,2022-07-03,Product damaged,1804.53,80,22.5,1907.03,Organic Search
RET000110,ORD0000973,CUST00645,2023-01-04,Not as described,588.96,80,6.5,675.46,Influencer
RET000111,ORD0000981,CUST00651,2023-06-08,Not as described,2073.72,80,19.0,2172.72,Influencer
RET000112,ORD0000982,CUST00651,2023-09-16,Quality issue,1926.34,80,24.0,2030.34,Influencer
RET000113,ORD0000987,CUST00654,2023-03-15,Quality issue,354.49,80,3.5,437.99,Paid Google
RET000114,ORD0000996,CUST00662,2023-11-30,Product damaged,253.81,80,2.5,336.31,Paid Google
RET000115,ORD0001008,CUST00667,2022-09-24,Wrong item,508.88,80,5.0,593.88,Email Referral
RET000116,ORD0001015,CUST00671,2023-11-18,Wrong item,902.31,80,8.5,990.81,Paid Instagram
RET000117,ORD0001020,CUST00675,2022-01-05,Product damaged,589.64,80,6.0,675.64,Paid Google
RET000118,ORD0001027,CUST00680,2024-08-06,Product damaged,771.77,80,8.25,860.02,Paid Google
RET000119,ORD0001037,CUST00684,2023-10-21,Allergic reaction,607.34,80,6.0,693.34,Direct
RET000120,ORD0001041,CUST00687,2022-04-10,Wrong item,1821.19,80,18.0,1919.19,Paid Instagram
RET000121,ORD0001045,CUST00689,2023-12-05,Allergic reaction,881.74,80,12.0,973.74,Organic Search
RET000122,ORD0001073,CUST00704,2022-08-21,Wrong item,3173.63,80,35.5,3289.13,Paid Instagram
RET000123,ORD0001074,CUST00705,2023-10-28,Not as described,2687.33,80,32.0,2799.33,Influencer
RET000124,ORD0001080,CUST00708,2022-07-14,Product damaged,889.35,80,8.5,977.85,Influencer
RET000125,ORD0001083,CUST00711,2022-12-10,Product damaged,2279.66,80,25.5,2385.16,Influencer
RET000126,ORD0001091,CUST00716,2023-04-25,Wrong item,1411.73,80,15.0,1506.73,Paid Instagram
RET000127,ORD0001098,CUST00721,2024-06-21,Product damaged,374.18,80,3.5,457.68,Organic Search
RET000128,ORD0001116,CUST00733,2023-10-07,Not as described,2534.56,80,25.0,2639.56,Influencer
RET000129,ORD0001123,CUST00738,2024-01-09,Product damaged,387.47,80,4.0,471.47,Influencer
RET000130,ORD0001131,CUST00744,2023-12-11,Product damaged,1300.44,80,13.0,1393.44,Influencer
RET000131,ORD0001144,CUST00753,2024-06-19,Not as described,286.6,80,3.0,369.6,Organic Search
RET000132,ORD0001149,CUST00756,2022-02-17,Not as described,237.36,80,3.0,320.36,Direct
RET000133,ORD0001153,CUST00760,2022-07-17,Changed mind,668.64,80,6.5,755.14,Influencer
RET000134,ORD0001154,CUST00760,2022-08-22,Product damaged,535.17,80,6.0,621.17,Influencer
RET000135,ORD0001164,CUST00767,2023-09-02,Wrong item,1685.69,80,22.5,1788.19,Paid Instagram
RET000136,ORD0001168,CUST00769,2022-12-28,Wrong item,1009.31,80,12.0,1101.31,Paid Instagram
RET000137,ORD0001170,CUST00770,2023-03-17,Not as described,1176.25,80,13.0,1269.25,Paid Instagram
RET000138,ORD0001175,CUST00774,2022-05-08,Allergic reaction,289.96,80,3.5,373.46,Organic Search
RET000139,ORD0001176,CUST00775,2023-09-18,Changed mind,851.45,80,8.5,939.95,Organic Search
RET000140,ORD0001184,CUST00779,2023-03-15,Wrong item,528.06,80,5.5,613.56,Paid Google
RET000141,ORD0001197,CUST00786,2022-05-14,Product damaged,1564.13,80,15.5,1659.63,Paid Google
RET000142,ORD0001198,CUST00787,2022-05-09,Product damaged,1416.24,80,17.0,1513.24,Paid Instagram
RET000143,ORD0001200,CUST00789,2023-02-02,Allergic reaction,688.86,80,7.5,776.36,Paid Instagram
RET000144,ORD0001205,CUST00791,2022-08-08,Quality issue,1420.0,80,16.0,1516.0,Organic Search
RET000145,ORD0001206,CUST00791,2022-09-28,Not as described,1277.88,80,13.0,1370.88,Organic Search
RET000146,ORD0001214,CUST00798,2023-09-24,Changed mind,284.09,80,2.5,366.59,Paid Instagram
RET000147,ORD0001227,CUST00806,2024-01-13,Quality issue,301.33,80,3.0,384.33,Paid Google
RET000148,ORD0001230,CUST00808,2023-09-30,Not as described,796.04,80,8.0,884.04,Email Referral
RET000149,ORD0001231,CUST00808,2023-11-18,Changed mind,363.96,80,3.5,447.46,Email Referral
RET000150,ORD0001239,CUST00815,2023-09-01,Product damaged,618.68,80,6.0,704.68,Direct
RET000151,ORD0001248,CUST00819,2023-09-12,Changed mind,857.87,80,11.0,948.87,Email Referral
RET000152,ORD0001250,CUST00821,2023-11-02,Not as described,187.93,80,1.75,269.68,Paid Instagram
RET000153,ORD0001254,CUST00824,2022-05-15,Product damaged,1322.43,80,12.5,1414.93,Paid Instagram
RET000154,ORD0001256,CUST00825,2024-01-21,Allergic reaction,370.71,80,4.0,454.71,Paid Instagram
RET000155,ORD0001259,CUST00827,2023-01-02,Quality issue,289.54,80,2.5,372.04,Organic Search
RET000156,ORD0001269,CUST00834,2022-04-13,Wrong item,289.74,80,2.5,372.24,Paid Google
RET000157,ORD0001274,CUST00837,2024-02-12,Not as described,1105.06,80,11.0,1196.06,Paid Google
RET000158,ORD0001283,CUST00841,2023-02-11,Product damaged,2079.6,80,22.5,2182.1,Email Referral
RET000159,ORD0001284,CUST00842,2023-12-06,Changed mind,419.62,80,5.5,505.12,Influencer
RET000160,ORD0001291,CUST00847,2023-12-15,Changed mind,1526.33,80,16.5,1622.83,Organic Search
RET000161,ORD0001294,CUST00850,2023-07-23,Not as described,4307.13,80,49.5,4436.63,Paid Instagram
RET000162,ORD0001300,CUST00855,2023-07-09,Allergic reaction,742.96,80,9.0,831.96,Paid Instagram
RET000163,ORD0001330,CUST00869,2024-06-04,Not as described,3515.49,80,36.0,3631.49,Paid Instagram
RET000164,ORD0001333,CUST00870,2022-08-18,Product damaged,1240.58,80,13.0,1333.58,Paid Instagram
RET000165,ORD0001349,CUST00880,2023-09-13,Not as described,173.07,80,1.75,254.82,Paid Instagram
RET000166,ORD0001350,CUST00880,2023-12-22,Product damaged,585.29,80,6.0,671.29,Paid Instagram
RET000167,ORD0001352,CUST00882,2024-01-19,Not as described,383.22,80,3.5,466.72,Paid Instagram
RET000168,ORD0001356,CUST00885,2024-06-11,Quality issue,884.11,80,9.0,973.11,Paid Instagram
RET000169,ORD0001367,CUST00893,2022-03-22,Not as described,1409.11,80,17.0,1506.11,Email Referral
RET000170,ORD0001370,CUST00893,2022-12-07,Quality issue,362.94,80,4.0,446.94,Email Referral
RET000171,ORD0001374,CUST00895,2022-12-19,Product damaged,891.0,80,11.0,982.0,Organic Search
RET000172,ORD0001379,CUST00898,2024-04-16,Wrong item,1500.0,80,16.0,1596.0,Organic Search
RET000173,ORD0001382,CUST00899,2022-10-13,Quality issue,622.39,80,7.5,709.89,Paid Google
RET000174,ORD0001397,CUST00910,2022-05-15,Product damaged,825.97,80,7.5,913.47,Paid Instagram
RET000175,ORD0001399,CUST00912,2022-07-03,Not as described,196.22,80,1.75,277.97,Influencer
RET000176,ORD0001405,CUST00917,2022-08-03,Not as described,662.1,80,7.5,749.6,Organic Search
RET000177,ORD0001413,CUST00923,2024-06-13,Not as described,1281.21,80,12.5,1373.71,Influencer
RET000178,ORD0001417,CUST00924,2023-01-05,Product damaged,335.45,80,3.5,418.95,Organic Search
RET000179,ORD0001420,CUST00925,2023-11-12,Quality issue,279.27,80,2.5,361.77,Paid Google
RET000180,ORD0001431,CUST00932,2022-04-04,Quality issue,344.23,80,3.5,427.73,Influencer
RET000181,ORD0001449,CUST00940,2023-08-18,Not as described,714.4,80,7.5,801.9,Organic Search
RET000182,ORD0001451,CUST00942,2022-09-28,Wrong item,1112.31,80,13.0,1205.31,Influencer
RET000183,ORD0001463,CUST00950,2023-06-07,Quality issue,344.68,80,4.0,428.68,Paid Instagram
RET000184,ORD0001465,CUST00951,2023-03-06,Product damaged,938.9,80,9.0,1027.9,Paid Instagram
RET000185,ORD0001468,CUST00953,2023-11-18,Wrong item,1824.76,80,22.5,1927.26,Paid Google
RET000186,ORD0001472,CUST00955,2024-05-22,Changed mind,547.34,80,6.0,633.34,Paid Instagram
RET000187,ORD0001478,CUST00957,2022-09-18,Changed mind,1481.9,80,17.0,1578.9,Organic Search
RET000188,ORD0001490,CUST00966,2023-01-30,Changed mind,509.66,80,5.5,595.16,Organic Search
RET000189,ORD0001496,CUST00970,2023-11-19,Wrong item,329.01,80,3.5,412.51,Paid Instagram
RET000190,ORD0001497,CUST00971,2022-11-28,Wrong item,2338.77,80,31.5,2450.27,Influencer
RET000191,ORD0001511,CUST00981,2023-12-07,Wrong item,645.35,80,7.5,732.85,Paid Instagram
RET000192,ORD0001553,CUST01012,2022-02-11,Product damaged,484.21,80,6.0,570.21,Email Referral
RET000193,ORD0001572,CUST01023,2024-12-06,Allergic reaction,854.1,80,8.0,942.1,Email Referral
RET000194,ORD0001574,CUST01024,2024-06-08,Not as described,442.49,80,5.5,527.99,Email Referral
RET000195,ORD0001587,CUST01031,2024-03-16,Quality issue,144.13,80,1.75,225.88,Paid Instagram
RET000196,ORD0001590,CUST01033,2023-09-12,Quality issue,677.62,80,6.0,763.62,Email Referral
RET000197,ORD0001604,CUST01042,2022-03-30,Quality issue,264.2,80,3.0,347.2,Paid Instagram
RET000198,ORD0001609,CUST01046,2022-06-05,Changed mind,2680.73,80,32.0,2792.73,Influencer
RET000199,ORD0001634,CUST01063,2022-10-25,Wrong item,539.44,80,6.0,625.44,Email Referral
RET000200,ORD0001635,CUST01064,2022-11-06,Quality issue,1815.17,80,21.0,1916.17,Paid Instagram
RET000201,ORD0001645,CUST01071,2023-10-27,Changed mind,1019.46,80,12.0,1111.46,Organic Search
RET000202,ORD0001658,CUST01078,2023-06-08,Product damaged,853.19,80,8.5,941.69,Organic Search
RET000203,ORD0001688,CUST01098,2023-10-04,Changed mind,628.07,80,7.0,715.07,Organic Search
RET000204,ORD0001698,CUST01105,2023-09-07,Product damaged,430.77,80,4.0,514.77,Organic Search
RET000205,ORD0001699,CUST01106,2022-12-04,Changed mind,3158.36,80,30.5,3268.86,Paid Google
RET000206,ORD0001700,CUST01107,2022-02-02,Product damaged,349.91,80,4.0,433.91,Direct
RET000207,ORD0001703,CUST01109,2022-07-04,Changed mind,705.37,80,8.0,793.37,Paid Google
RET000208,ORD0001719,CUST01117,2023-03-11,Quality issue,622.63,80,9.0,711.63,Organic Search
RET000209,ORD0001740,CUST01128,2023-03-05,Quality issue,264.57,80,3.0,347.57,Paid Google
RET000210,ORD0001744,CUST01132,2023-10-12,Product damaged,2142.9,80,24.0,2246.9,Paid Instagram
RET000211,ORD0001748,CUST01133,2023-05-19,Changed mind,1709.72,80,19.25,1808.97,Email Referral
RET000212,ORD0001753,CUST01134,2022-11-06,Changed mind,562.35,80,5.25,647.6,Influencer
RET000213,ORD0001756,CUST01137,2023-12-01,Product damaged,672.22,80,7.0,759.22,Paid Instagram
RET000214,ORD0001760,CUST01140,2022-04-25,Not as described,1044.7,80,12.0,1136.7,Influencer
RET000215,ORD0001780,CUST01154,2022-09-17,Not as described,696.27,80,8.5,784.77,Paid Google
RET000216,ORD0001795,CUST01164,2023-05-08,Not as described,279.27,80,2.5,361.77,Influencer
RET000217,ORD0001807,CUST01173,2022-04-02,Not as described,547.04,80,5.0,632.04,Paid Google
RET000218,ORD0001819,CUST01181,2022-06-18,Allergic reaction,256.17,80,2.5,338.67,Organic Search
RET000219,ORD0001821,CUST01182,2022-06-23,Product damaged,843.76,80,8.0,931.76,Paid Google
RET000220,ORD0001822,CUST01183,2022-08-06,Quality issue,2912.76,80,31.5,3024.26,Paid Instagram
RET000221,ORD0001845,CUST01198,2022-11-16,Quality issue,1841.38,80,17.0,1938.38,Paid Google
RET000222,ORD0001848,CUST01200,2022-07-19,Wrong item,802.4,80,7.5,889.9,Paid Google
RET000223,ORD0001858,CUST01206,2022-04-21,Allergic reaction,1276.16,80,14.0,1370.16,Paid Google
RET000224,ORD0001863,CUST01210,2022-03-18,Not as described,1338.7,80,14.5,1433.2,Organic Search
RET000225,ORD0001870,CUST01215,2022-07-23,Not as described,424.43,80,4.0,508.43,Influencer
RET000226,ORD0001877,CUST01221,2023-02-09,Quality issue,1085.8,80,13.0,1178.8,Paid Instagram
RET000227,ORD0001880,CUST01224,2023-03-11,Product damaged,1477.65,80,18.0,1575.65,Influencer
RET000228,ORD0001885,CUST01227,2023-03-29,Product damaged,1511.18,80,17.0,1608.18,Organic Search
RET000229,ORD0001897,CUST01236,2022-11-17,Quality issue,726.8,80,8.5,815.3,Paid Instagram
RET000230,ORD0001899,CUST01238,2024-06-18,Not as described,712.99,80,8.0,800.99,Paid Google
RET000231,ORD0001900,CUST01239,2022-04-08,Quality issue,1733.43,80,20.0,1833.43,Paid Instagram
RET000232,ORD0001905,CUST01243,2024-07-14,Quality issue,312.5,80,3.0,395.5,Paid Google
RET000233,ORD0001911,CUST01247,2023-10-31,Allergic reaction,809.17,80,8.0,897.17,Paid Instagram
RET000234,ORD0001921,CUST01254,2022-10-06,Product damaged,538.01,80,5.0,623.01,Paid Instagram
RET000235,ORD0001924,CUST01255,2024-05-27,Quality issue,335.96,80,3.5,419.46,Paid Instagram
RET000236,ORD0001934,CUST01261,2023-09-02,Not as described,1902.22,80,24.0,2006.22,Email Referral
RET000237,ORD0001937,CUST01262,2022-11-25,Not as described,365.31,80,3.5,448.81,Influencer
RET000238,ORD0001939,CUST01264,2024-01-09,Quality issue,650.62,80,7.5,738.12,Paid Instagram
RET000239,ORD0001955,CUST01274,2023-12-22,Not as described,1686.89,80,21.0,1787.89,Influencer
RET000240,ORD0001966,CUST01281,2023-04-18,Wrong item,317.17,80,4.0,401.17,Paid Instagram
RET000241,ORD0001969,CUST01283,2022-07-02,Changed mind,2732.21,80,32.5,2844.71,Direct
RET000242,ORD0001971,CUST01284,2023-06-21,Changed mind,727.01,80,7.5,814.51,Direct
RET000243,ORD0001980,CUST01288,2022-10-04,Product damaged,1178.49,80,15.0,1273.49,Paid Instagram
RET000244,ORD0001985,CUST01291,2022-12-02,Not as described,3328.0,80,37.0,3445.0,Email Referral
RET000245,ORD0001990,CUST01294,2022-08-25,Changed mind,797.13,80,8.5,885.63,Paid Google
RET000246,ORD0001992,CUST01296,2022-07-04,Quality issue,1166.98,80,13.5,1260.48,Email Referral
RET000247,ORD0002006,CUST01307,2022-06-30,Product damaged,333.99,80,3.5,417.49,Organic Search
RET000248,ORD0002015,CUST01314,2022-06-23,Not as described,2796.1,80,28.25,2904.35,Influencer
RET000249,ORD0002024,CUST01320,2024-03-03,Not as described,670.08,80,7.5,757.58,Influencer
RET000250,ORD0002032,CUST01327,2022-03-09,Product damaged,618.22,80,7.0,705.22,Paid Instagram
RET000251,ORD0002033,CUST01328,2023-06-16,Not as described,1650.12,80,22.0,1752.12,Influencer
RET000252,ORD0002035,CUST01330,2024-02-15,Quality issue,1887.59,80,21.5,1989.09,Paid Instagram
RET000253,ORD0002038,CUST01333,2022-10-23,Not as described,766.67,80,7.5,854.17,Paid Instagram
RET000254,ORD0002039,CUST01334,2024-06-28,Product damaged,1098.64,80,12.0,1190.64,Paid Instagram
RET000255,ORD0002055,CUST01346,2024-01-07,Product damaged,583.48,80,6.0,669.48,Paid Google
RET000256,ORD0002062,CUST01348,2022-09-02,Quality issue,323.57,80,3.0,406.57,Paid Instagram
RET000257,ORD0002068,CUST01352,2024-09-21,Product damaged,1031.76,80,12.0,1123.76,Paid Instagram
RET000258,ORD0002075,CUST01356,2024-03-28,Allergic reaction,1341.22,80,15.5,1436.72,Organic Search
RET000259,ORD0002080,CUST01359,2022-03-13,Wrong item,1136.62,80,12.0,1228.62,Paid Instagram
RET000260,ORD0002085,CUST01362,2024-06-16,Quality issue,749.31,80,8.0,837.31,Organic Search
RET000261,ORD0002086,CUST01362,2024-10-11,Product damaged,796.25,80,8.0,884.25,Organic Search
RET000262,ORD0002087,CUST01363,2022-11-01,Product damaged,1329.57,80,13.5,1423.07,Paid Instagram
RET000263,ORD0002104,CUST01374,2023-08-02,Product damaged,1450.2,80,15.0,1545.2,Email Referral
RET000264,ORD0002108,CUST01377,2023-04-06,Product damaged,571.14,80,6.0,657.14,Paid Instagram
RET000265,ORD0002110,CUST01379,2024-01-19,Allergic reaction,1144.23,80,12.0,1236.23,Influencer
RET000266,ORD0002131,CUST01394,2022-06-01,Wrong item,894.23,80,8.5,982.73,Paid Google
