customer_id,acquisition_date,acquisition_channel,acquisition_cac,city,city_tier,age,gender,preferred_category
CUST00075,2024-02-23,Email Referral,245.4,Pune,Tier 1,40,Female,Personal Care
CUST00076,2024-05-05,Email Referral,299.5,Hyderabad,Tier 1,52,Male,Haircare
CUST00077,2022-10-07,Influencer,1131.93,Hyderabad,Tier 1,39,Male,Personal Care
CUST00078,2024-05-10,Organic Search,125.53,Hyderabad,Tier 1,52,Female,Personal Care
CUST00079,2023-11-10,Influencer,1807.02,Mumbai,Tier 1,26,Male,Haircare
CUST00080,2023-01-24,Paid Instagram,1072.82,Bengaluru,Tier 1,39,Male,Personal Care
CUST00081,2024-05-01,Paid Google,1017.46,Hyderabad,Tier 1,48,Female,Skincare
CUST00082,2022-12-25,Direct,56.86,Delhi,Tier 1,20,Male,Haircare
CUST00083,2022-01-21,Paid Instagram,943.13,Pune,Tier 1,48,Male,Haircare
CUST00084,2022-09-20,Influencer,1284.57,Kolkata,Tier 1,25,Male,Haircare
CUST00085,2022-04-21,Direct,142.89,Pune,Tier 1,42,Female,Haircare
CUST00086,2023-12-09,Paid Instagram,945.71,Lucknow,Tier 2,37,Male,Skincare
CUST00087,2023-08-03,Email Referral,219.44,Jaipur,Tier 2,45,Male,Skincare
CUST00088,2022-12-16,Influencer,1562.06,Mumbai,Tier 1,49,Female,Supplements
CUST00089,2024-04-28,Organic Search,130.6,Hyderabad,Tier 1,29,Male,Supplements
CUST00090,2023-07-06,Organic Search,192.97,Jaipur,Tier 2,35,Female,Haircare
CUST00091,2022-03-30,Email Referral,240.16,Bengaluru,Tier 1,47,Female,Personal Care
CUST00092,2023-05-22,Paid Google,690.92,Lucknow,Tier 2,31,Female,Supplements
CUST00093,2024-06-20,Paid Google,1040.05,Pune,Tier 1,18,Female,Haircare
CUST00094,2024-01-08,Paid Instagram,1133.11,Hyderabad,Tier 1,33,Male,Personal Care
CUST00095,2022-01-18,Paid Google,710.8,Mumbai,Tier 1,33,Female,Supplements
CUST00096,2023-06-28,Influencer,2196.29,Bengaluru,Tier 1,39,Female,Personal Care
CUST00097,2022-09-15,Paid Google,960.64,Delhi,Tier 1,38,Female,Haircare
CUST00098,2024-01-27,Paid Instagram,1234.75,Chennai,Tier 1,51,Female,Skincare
CUST00099,2022-10-31,Email Referral,185.89,Delhi,Tier 1,18,Male,Haircare
CUST00100,2022-02-25,Paid Google,948.71,Chennai,Tier 1,26,Male,Personal Care
CUST00101,2022-01-13,Paid Instagram,1081.64,Pune,Tier 1,46,Female,Skincare
CUST00102,2024-06-01,Paid Google,1011.06,Hyderabad,Tier 1,43,Female,Skincare
CUST00103,2024-04-10,Paid Instagram,982.3,Pune,Tier 1,33,Female,Personal Care
CUST00104,2024-03-20,Organic Search,255.14,Pune,Tier 1,42,Female,Personal Care
CUST00105,2023-08-26,Paid Google,752.69,Nagpur,Tier 3,21,Female,Skincare
CUST00106,2022-08-01,Direct,76.46,Pune,Tier 1,23,Female,Haircare
CUST00107,2022-06-10,Influencer,1595.55,Mumbai,Tier 1,48,Female,Haircare
CUST00108,2022-10-17,Paid Google,827.02,Ahmedabad,Tier 1,32,Male,Haircare
CUST00109,2023-07-12,Paid Google,674.49,Delhi,Tier 1,35,Male,Skincare
CUST00110,2024-03-22,Paid Instagram,1249.37,Bengaluru,Tier 1,36,Female,Personal Care
CUST00111,2023-12-18,Organic Search,154.45,Hyderabad,Tier 1,52,Female,Skincare
CUST00112,2024-06-29,Influencer,1454.55,Hyderabad,Tier 1,34,Female,Haircare
CUST00113,2024-05-06,Direct,108.71,Surat,Tier 2,19,Other,Supplements
CUST00114,2024-02-21,Influencer,1617.55,Kolkata,Tier 1,46,Male,Haircare
CUST00115,2023-03-23,Direct,99.17,Pune,Tier 1,23,Female,Personal Care
CUST00116,2023-11-18,Paid Google,680.41,Mumbai,Tier 1,44,Male,Supplements
CUST00117,2023-02-15,Organic Search,210.02,Jaipur,Tier 2,47,Female,Supplements
CUST00118,2024-03-02,Paid Google,857.3,Hyderabad,Tier 1,18,Male,Personal Care
CUST00119,2022-07-12,Paid Google,911.32,Chennai,Tier 1,49,Male,Skincare
CUST00120,2023-07-17,Paid Instagram,972.82,Mumbai,Tier 1,49,Female,Haircare
CUST00121,2022-11-15,Organic Search,210.45,Chennai,Tier 1,23,Female,Skincare
CUST00122,2022-05-01,Influencer,1269.37,Ahmedabad,Tier 1,36,Female,Supplements
CUST00123,2023-05-10,Paid Google,721.87,Nagpur,Tier 3,27,Female,Haircare
CUST00124,2022-10-10,Email Referral,320.88,Jaipur,Tier 2,39,Male,Supplements
CUST00125,2022-10-17,Email Referral,317.5,Kolkata,Tier 1,49,Male,Personal Care
CUST00126,2022-12-20,Influencer,1939.16,Bengaluru,Tier 1,42,Female,Supplements
CUST00127,2023-12-16,Email Referral,226.59,Delhi,Tier 1,44,Female,Personal Care
CUST00128,2024-04-10,Organic Search,297.68,Bengaluru,Tier 1,27,Female,Skincare
CUST00129,2023-08-28,Paid Instagram,860.22,Bengaluru,Tier 1,46,Female,Personal Care
CUST00130,2022-05-28,Paid Instagram,1192.87,Hyderabad,Tier 1,27,Female,Supplements
CUST00131,2023-12-11,Paid Google,640.16,Hyderabad,Tier 1,39,Male,Personal Care
CUST00132,2023-10-04,Direct,125.94,Kolkata,Tier 1,52,Female,Skincare
CUST00133,2023-12-02,Paid Instagram,1398.46,Chandigarh,Tier 2,23,Female,Skincare
CUST00134,2023-12-22,Organic Search,188.74,Surat,Tier 2,37,Male,Skincare
CUST00135,2022-02-27,Paid Google,787.42,Bengaluru,Tier 1,27,Female,Personal Care
CUST00136,2024-03-22,Influencer,1292.58,Delhi,Tier 1,42,Female,Haircare
CUST00137,2023-08-21,Influencer,1607.26,Delhi,Tier 1,34,Female,Skincare
CUST00138,2023-04-22,Email Referral,285.52,Chandigarh,Tier 2,28,Female,Supplements
CUST00139,2022-11-03,Direct,92.43,Pune,Tier 1,34,Female,Supplements
CUST00140,2023-01-29,Paid Instagram,863.99,Lucknow,Tier 2,42,Female,Supplements
CUST00141,2022-10-30,Direct,133.0,Mumbai,Tier 1,43,Female,Skincare
CUST00142,2024-02-03,Direct,140.42,Chennai,Tier 1,36,Male,Haircare
CUST00143,2022-12-27,Organic Search,138.03,Delhi,Tier 1,34,Male,Haircare
CUST00144,2023-10-05,Organic Search,161.79,Ahmedabad,Tier 1,46,Female,Supplements
CUST00145,2022-04-03,Organic Search,165.34,Chandigarh,Tier 2,44,Female,Haircare
CUST00146,2024-06-16,Email Referral,256.17,Indore,Tier 3,35,Male,Supplements
CUST00147,2023-05-09,Direct,79.51,Indore,Tier 3,39,Male,Personal Care
CUST00148,2022-05-25,Direct,72.56,Kolkata,Tier 1,43,Male,Supplements
CUST00149,2023-02-09,Paid Instagram,1121.94,Mumbai,Tier 1,47,Female,Supplements
CUST00150,2024-04-22,Influencer,1508.62,Pune,Tier 1,32,Female,Supplements
CUST00151,2022-08-15,Direct,113.54,Ahmedabad,Tier 1,47,Male,Supplements
CUST00152,2022-04-30,Organic Search,289.25,Mumbai,Tier 1,37,Other,Skincare
CUST00153,2024-06-27,Paid Instagram,1033.19,Chennai,Tier 1,41,Male,Personal Care
CUST00154,2024-01-15,Influencer,1556.37,Delhi,Tier 1,24,Male,Personal Care
CUST00155,2022-10-14,Direct,87.05,Mumbai,Tier 1,46,Female,Haircare
CUST00156,2022-04-12,Email Referral,223.47,Nagpur,Tier 3,40,Female,Supplements
CUST00157,2022-05-06,Paid Instagram,1294.51,Kochi,Tier 2,23,Male,Skincare
CUST00158,2022-12-08,Paid Instagram,875.55,Delhi,Tier 1,31,Female,Haircare
CUST00159,2024-04-12,Influencer,1461.42,Surat,Tier 2,27,Male,Skincare
CUST00160,2022-05-29,Paid Google,870.11,Nagpur,Tier 3,29,Female,Skincare
CUST00161,2023-01-02,Paid Instagram,942.76,Jaipur,Tier 2,38,Female,Supplements
CUST00162,2024-01-30,Paid Instagram,868.19,Hyderabad,Tier 1,22,Female,Supplements
CUST00163,2022-04-22,Influencer,1343.7,Hyderabad,Tier 1,20,Male,Supplements
CUST00164,2022-02-01,Influencer,1626.88,Mumbai,Tier 1,43,Female,Skincare
CUST00165,2023-03-31,Influencer,1188.87,Mumbai,Tier 1,27,Female,Supplements
CUST00166,2023-08-23,Organic Search,165.04,Chennai,Tier 1,51,Female,Personal Care
CUST00167,2023-12-20,Paid Instagram,1192.83,Mumbai,Tier 1,31,Female,Haircare
CUST00168,2024-04-27,Paid Google,807.99,Hyderabad,Tier 1,24,Female,Supplements
CUST00169,2023-01-19,Organic Search,237.36,Kochi,Tier 2,48,Female,Skincare
CUST00170,2022-04-09,Paid Instagram,1023.59,Kolkata,Tier 1,26,Female,Supplements
CUST00171,2023-02-25,Organic Search,233.07,Bengaluru,Tier 1,45,Male,Skincare
CUST00172,2023-09-07,Direct,60.36,Bengaluru,Tier 1,50,Female,Personal Care
CUST00173,2022-04-21,Paid Instagram,1133.76,Bengaluru,Tier 1,25,Male,Haircare
CUST00174,2024-05-15,Email Referral,303.49,Pune,Tier 1,19,Female,Supplements
CUST00175,2022-10-07,Paid Instagram,985.39,Ahmedabad,Tier 1,39,Female,Haircare
CUST00176,2023-08-03,Email Referral,163.92,Ahmedabad,Tier 1,19,Female,Haircare
CUST00177,2023-04-10,Paid Google,785.03,Bengaluru,Tier 1,38,Male,Skincare
CUST00178,2022-06-09,Email Referral,273.57,Delhi,Tier 1,23,Female,Personal Care
CUST00179,2023-03-29,Influencer,1337.13,Hyderabad,Tier 1,50,Female,Personal Care
CUST00180,2023-11-26,Paid Instagram,1091.98,Ahmedabad,Tier 1,37,Female,Personal Care
CUST00181,2022-02-26,Direct,80.14,Mumbai,Tier 1,31,Male,Supplements
CUST00182,2022-05-03,Paid Google,973.51,Mumbai,Tier 1,29,Female,Haircare
CUST00183,2024-05-03,Influencer,1489.58,Ahmedabad,Tier 1,43,Male,Skincare
CUST00184,2023-04-16,Paid Google,1031.06,Chandigarh,Tier 2,45,Female,Personal Care
CUST00185,2023-02-19,Paid Google,762.38,Mumbai,Tier 1,47,Male,Supplements
CUST00186,2024-05-14,Paid Instagram,1061.41,Mumbai,Tier 1,43,Female,Personal Care
CUST00187,2024-02-03,Email Referral,216.61,Bengaluru,Tier 1,28,Female,Skincare
CUST00188,2022-07-18,Influencer,1484.31,Chandigarh,Tier 2,27,Female,Haircare
CUST00189,2022-06-27,Paid Google,980.11,Pune,Tier 1,22,Female,Personal Care
CUST00190,2023-08-01,Influencer,1593.8,Kolkata,Tier 1,38,Male,Supplements
CUST00191,2022-03-11,Paid Instagram,1178.83,Hyderabad,Tier 1,35,Female,Supplements
CUST00192,2022-11-14,Influencer,1141.37,Hyderabad,Tier 1,41,Male,Skincare
CUST00193,2024-05-25,Organic Search,218.82,Mumbai,Tier 1,42,Female,Skincare
CUST00194,2024-04-09,Paid Google,694.12,Pune,Tier 1,48,Female,Skincare
CUST00195,2024-04-10,Influencer,1477.78,Surat,Tier 2,23,Female,Haircare
CUST00196,2023-12-26,Paid Instagram,1063.65,Hyderabad,Tier 1,51,Female,Supplements
CUST00197,2022-10-17,Paid Google,987.23,Bengaluru,Tier 1,21,Male,Supplements
CUST00198,2022-04-07,Paid Instagram,1031.94,Chennai,Tier 1,34,Male,Haircare
CUST00199,2023-08-20,Paid Google,1058.37,Ahmedabad,Tier 1,37,Male,Personal Care
CUST00200,2023-12-27,Paid Instagram,985.75,Kochi,Tier 2,42,Male,Supplements
CUST00201,2023-11-18,Email Referral,339.42,Ahmedabad,Tier 1,51,Female,Personal Care
CUST00202,2022-01-19,Influencer,1298.29,Bengaluru,Tier 1,31,Female,Personal Care
CUST00203,2022-05-21,Paid Instagram,977.48,Delhi,Tier 1,24,Female,Skincare
CUST00204,2024-06-16,Organic Search,126.21,Kolkata,Tier 1,42,Female,Haircare
CUST00205,2024-02-29,Email Referral,330.53,Pune,Tier 1,46,Female,Supplements
CUST00206,2022-09-01,Organic Search,222.12,Indore,Tier 3,46,Female,Haircare
CUST00207,2024-04-08,Paid Google,1051.99,Jaipur,Tier 2,30,Female,Personal Care
CUST00208,2022-10-16,Influencer,1653.2,Jaipur,Tier 2,44,Male,Haircare
CUST00209,2022-05-22,Email Referral,160.44,Surat,Tier 2,48,Male,Skincare
CUST00210,2023-06-13,Organic Search,157.01,Lucknow,Tier 2,28,Female,Haircare
CUST00211,2022-04-04,Email Referral,194.41,Kochi,Tier 2,46,Male,Skincare
CUST00212,2023-02-10,Paid Google,717.89,Chennai,Tier 1,23,Female,Skincare
CUST00213,2022-04-12,Paid Google,924.98,Lucknow,Tier 2,27,Female,Supplements
CUST00214,2023-04-29,Direct,63.88,Ahmedabad,Tier 1,48,Female,Skincare
CUST00215,2022-01-20,Direct,133.5,Delhi,Tier 1,51,Female,Supplements
CUST00216,2022-05-05,Paid Instagram,1051.9,Mumbai,Tier 1,47,Female,Personal Care
CUST00217,2022-01-17,Influencer,1732.55,Pune,Tier 1,27,Female,Skincare
CUST00218,2022-09-04,Organic Search,137.46,Pune,Tier 1,23,Female,Supplements
CUST00219,2023-06-23,Paid Instagram,1271.85,Chennai,Tier 1,50,Female,Personal Care
CUST00220,2022-02-14,Email Referral,346.21,Pune,Tier 1,34,Male,Supplements
CUST00221,2022-12-20,Email Referral,281.42,Delhi,Tier 1,24,Male,Supplements
CUST00222,2022-12-27,Paid Instagram,1288.11,Chennai,Tier 1,29,Male,Personal Care
CUST00223,2023-05-06,Direct,131.15,Pune,Tier 1,22,Male,Personal Care
CUST00224,2022-07-26,Paid Instagram,919.68,Mumbai,Tier 1,20,Female,Supplements
CUST00225,2024-04-14,Influencer,1378.65,Chennai,Tier 1,30,Female,Skincare
CUST00226,2022-12-06,Email Referral,309.87,Bengaluru,Tier 1,45,Male,Personal Care
CUST00227,2023-01-31,Email Referral,187.36,Bengaluru,Tier 1,49,Female,Supplements
CUST00228,2024-01-15,Email Referral,236.12,Hyderabad,Tier 1,29,Female,Supplements
CUST00229,2022-12-02,Paid Instagram,983.9,Ahmedabad,Tier 1,45,Female,Personal Care
CUST00230,2022-02-13,Paid Google,1055.8,Kolkata,Tier 1,45,Female,Skincare
CUST00231,2023-10-15,Paid Instagram,1107.85,Hyderabad,Tier 1,28,Male,Haircare
CUST00232,2023-11-26,Email Referral,156.96,Jaipur,Tier 2,22,Female,Supplements
CUST00233,2023-08-04,Paid Google,676.72,Mumbai,Tier 1,46,Male,Supplements
CUST00234,2022-03-20,Paid Google,864.73,Pune,Tier 1,43,Female,Supplements
CUST00235,2022-04-27,Paid Instagram,911.63,Mumbai,Tier 1,51,Female,Skincare
CUST00236,2022-09-24,Paid Google,707.29,Ahmedabad,Tier 1,36,Male,Personal Care
CUST00237,2022-05-19,Paid Instagram,1071.23,Lucknow,Tier 2,46,Other,Supplements
CUST00238,2023-12-28,Organic Search,208.43,Mumbai,Tier 1,37,Male,Haircare
CUST00239,2023-06-05,Email Referral,347.03,Delhi,Tier 1,26,Female,Personal Care
CUST00240,2023-07-22,Paid Instagram,1080.44,Pune,Tier 1,26,Female,Skincare
CUST00241,2023-02-12,Paid Instagram,1231.32,Nagpur,Tier 3,51,Female,Personal Care
CUST00242,2022-03-17,Email Referral,213.41,Mumbai,Tier 1,22,Female,Supplements
CUST00243,2024-04-28,Paid Instagram,1183.88,Jaipur,Tier 2,29,Male,Haircare
CUST00244,2024-06-08,Paid Google,662.08,Mumbai,Tier 1,27,Female,Haircare
CUST00245,2023-12-28,Paid Google,1073.74,Delhi,Tier 1,51,Male,Skincare
CUST00246,2023-10-13,Paid Google,737.23,Kochi,Tier 2,37,Female,Skincare
CUST00247,2022-06-22,Influencer,1738.71,Pune,Tier 1,28,Male,Supplements
CUST00248,2023-08-01,Email Referral,322.76,Mumbai,Tier 1,23,Female,Supplements
CUST00249,2024-02-25,Organic Search,223.62,Pune,Tier 1,19,Female,Supplements
CUST00250,2022-11-06,Organic Search,260.94,Chennai,Tier 1,43,Female,Skincare
CUST00251,2022-06-11,Organic Search,196.85,Hyderabad,Tier 1,31,Female,Haircare
CUST00252,2024-01-06,Paid Google,1094.01,Bengaluru,Tier 1,40,Other,Haircare
CUST00253,2023-06-12,Organic Search,163.82,Pune,Tier 1,47,Female,Personal Care
CUST00254,2022-04-10,Paid Instagram,1367.23,Mumbai,Tier 1,44,Female,Haircare
CUST00255,2023-08-15,Email Referral,187.97,Kolkata,Tier 1,28,Female,Personal Care
CUST00256,2022-11-12,Influencer,1199.05,Chennai,Tier 1,43,Female,Haircare
CUST00257,2022-12-28,Paid Instagram,968.81,Mumbai,Tier 1,48,Female,Skincare
CUST00258,2023-03-18,Email Referral,202.89,Mumbai,Tier 1,41,Male,Supplements
CUST00259,2022-02-22,Paid Instagram,916.79,Pune,Tier 1,36,Female,Personal Care
CUST00260,2022-10-14,Organic Search,224.65,Lucknow,Tier 2,25,Female,Skincare
CUST00261,2024-03-24,Paid Google,878.92,Nagpur,Tier 3,41,Male,Haircare
CUST00262,2023-02-16,Organic Search,109.06,Chennai,Tier 1,26,Male,Personal Care
CUST00263,2022-06-02,Influencer,1667.06,Pune,Tier 1,38,Male,Supplements
CUST00264,2023-09-24,Paid Instagram,979.54,Kolkata,Tier 1,39,Female,Personal Care
CUST00265,2022-11-03,Organic Search,103.33,Hyderabad,Tier 1,39,Male,Personal Care
CUST00266,2024-03-26,Influencer,2059.31,Surat,Tier 2,19,Female,Supplements
CUST00267,2024-03-12,Direct,107.85,Indore,Tier 3,32,Male,Personal Care
CUST00268,2023-10-07,Paid Instagram,1264.76,Kolkata,Tier 1,42,Female,Haircare
CUST00269,2023-12-19,Paid Instagram,811.36,Mumbai,Tier 1,38,Female,Personal Care
CUST00270,2023-02-25,Organic Search,222.3,Chennai,Tier 1,48,Male,Skincare
CUST00271,2023-06-16,Organic Search,165.01,Delhi,Tier 1,48,Female,Supplements
CUST00272,2023-04-16,Direct,84.23,Chandigarh,Tier 2,40,Male,Supplements
CUST00273,2022-07-16,Organic Search,155.8,Kochi,Tier 2,37,Female,Supplements
CUST00274,2023-12-23,Organic Search,241.0,Delhi,Tier 1,38,Female,Supplements
CUST00275,2023-08-11,Paid Google,789.85,Ahmedabad,Tier 1,43,Male,Haircare
CUST00276,2022-10-22,Paid Google,639.51,Kochi,Tier 2,46,Male,Personal Care
CUST00277,2024-04-27,Paid Instagram,1359.81,Chennai,Tier 1,35,Female,Haircare
CUST00278,2023-11-17,Paid Instagram,935.4,Chandigarh,Tier 2,32,Female,Personal Care
CUST00279,2023-04-29,Paid Google,985.38,Mumbai,Tier 1,18,Male,Haircare
CUST00280,2024-06-20,Paid Google,838.72,Surat,Tier 2,30,Male,Supplements
CUST00281,2023-10-24,Paid Google,984.36,Mumbai,Tier 1,32,Female,Skincare
CUST00282,2022-06-29,Direct,133.76,Hyderabad,Tier 1,20,Other,Personal Care
CUST00283,2022-07-10,Email Referral,342.43,Kochi,Tier 2,36,Male,Skincare
CUST00284,2023-09-10,Paid Google,1091.5,Mumbai,Tier 1,36,Female,Personal Care
CUST00285,2022-05-18,Email Referral,243.6,Lucknow,Tier 2,30,Male,Supplements
CUST00286,2023-04-15,Paid Instagram,1231.16,Ahmedabad,Tier 1,18,Male,Supplements
CUST00287,2024-02-15,Influencer,1772.05,Delhi,Tier 1,43,Male,Supplements
CUST00288,2023-11-17,Paid Instagram,1389.01,Mumbai,Tier 1,48,Female,Haircare
CUST00289,2023-01-28,Paid Instagram,1252.25,Delhi,Tier 1,39,Female,Skincare
CUST00290,2023-01-04,Paid Google,631.06,Ahmedabad,Tier 1,25,Female,Haircare
CUST00291,2023-05-30,Paid Google,1043.9,Chandigarh,Tier 2,37,Male,Supplements
CUST00292,2022-08-15,Paid Google,666.78,Delhi,Tier 1,27,Female,Supplements
CUST00293,2023-07-17,Paid Google,978.68,Chandigarh,Tier 2,31,Male,Skincare
CUST00294,2023-06-25,Influencer,1185.91,Ahmedabad,Tier 1,25,Female,Haircare
CUST00295,2022-06-03,Influencer,2039.93,Delhi,Tier 1,46,Female,Haircare
CUST00296,2023-05-16,Organic Search,202.08,Mumbai,Tier 1,21,Female,Personal Care
CUST00297,2022-03-01,Influencer,1840.04,Chennai,Tier 1,37,Male,Personal Care
CUST00298,2022-01-04,Paid Google,889.16,Kolkata,Tier 1,20,Female,Skincare
CUST00299,2022-03-03,Influencer,1175.92,Kochi,Tier 2,48,Female,Personal Care
CUST00300,2022-05-19,Paid Instagram,1387.0,Kolkata,Tier 1,44,Female,Personal Care
CUST00301,2023-01-22,Paid Google,941.37,Bengaluru,Tier 1,52,Female,Supplements
CUST00302,2023-07-05,Paid Instagram,876.41,Hyderabad,Tier 1,32,Male,Skincare
CUST00303,2023-04-20,Direct,104.44,Ahmedabad,Tier 1,52,Female,Haircare
CUST00304,2022-12-21,Paid Instagram,913.09,Delhi,Tier 1,25,Female,Personal Care
CUST00305,2024-06-23,Organic Search,148.13,Surat,Tier 2,22,Female,Skincare
